neighbourhood_group,total_listings,avg_price
Manhattan,21660,196.8849030470914
Brooklyn,20095,124.43891515302315
Queens,5666,99.51764913519237
Bronx,1090,87.57706422018349
Staten Island,373,114.81233243967829
